",""smiles"""
"1,""[Cl-].[Cl-].[Cd++]"""
"2,""Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O"""
"3,""CCCCCC[C@@H]1[C@@H](OC(=O)CC(C)C)[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(NC=O)c2O)[C@@H](C)OC1=O"""
4,NA
"5,""[Na+].[S-]C#N"""
"6,""COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl"""
"7,""CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl"""
"8,""CC(C)=CCC\C(C)=C\CN(CCO)C/C=C(C)/CCC=C(C)C"""
"9,""[Na+].[Na+].[O-][S]([O-])(=O)=O"""
"10,""[Cu++].[O-][S]([O-])(=O)=O"""
"11,""Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"""
12,NA
"13,""NC(=S)c1c(Cl)cccc1Cl"""
"14,""[K+].[K+].[K+].[Fe-3](|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)(|[C]#N)|[C]#N"""
"15,""CNC(=O)Oc1cccc2CC(C)(C)Oc12"""
"16,""Cc1c(Cl)cc(c(O)c1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O)C(C)(C)C"""
"17,""COc1ccc(CC=C)cc1OC"""
"18,""CNC(=O)Oc1cccc2ccccc12"""
"19,""[Na+].CCCCCCCCCCC(C)c1ccc(cc1)[S]([O-])(=O)=O"""
"20,""CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl"""
"21,""Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl"""
"22,""[C-]#N"""
"23,""CO[P](=O)(NC(C)=O)SC"""
"24,""Nc1ccncc1"""
"25,""ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl"""
"26,""O.O.[Na+].[Na+].CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3[C-](C(=O)c4c([O-])cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O"""
"27,""[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S"""
"28,""CC([O]|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3)=O"""
"29,""Oc1cccc2ccccc12"""
"30,""[Ag+].[O-][N+]([O-])=O"""
"31,""Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2"""
"32,""O.O.O.O.[Na+].CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1.[O-]B=O"""
"33,""S"""
"34,""[NH4+].[NH4+].[NH4+].[NH4+].O[P]([O-])([O-])=O.[O-][S]([O-])(=O)=O"""
"35,""ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl"""
"36,""[Na+].[Na+].[O-][Se]([O-])(=O)=O"""
"37,""COc1c(Cl)ccc(Cl)c1C(O)=O"""
"38,""CNC(=O)Oc1cccc2OC(C)(C)Oc12"""
"39,""CC(=O)OC(C)(C)C"""
"40,""CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O"""
