test_cas,species,score
28,316,3
2414,404,2
1484,278,3
576,316,2
357,7,1
502,316,2
1499,179,1
2355,303,1
1565,267,2
1294,404,4
150,316,1
771,220,1
1161,87,3
660,316,1
1316,260,2
1470,152,3
225,393,5
225,337,4
1286,3,4
2530,267,2
2206,267,5
1783,393,4
1656,267,3
1725,87,5
1324,220,3
1473,408,1
531,267,1
891,333,5
76,316,2
820,220,4
2194,413,3
2371,151,5
1458,403,4
323,330,1
643,393,5
2199,164,2
446,90,2
66,335,2
576,204,3
1160,3,1
140,316,5
2124,198,2
1496,175,1
788,267,5
891,263,4
446,308,3
2540,404,4
1567,47,5
1903,267,1
2081,395,2
1261,316,2
378,220,3
1434,316,1
2200,197,3
744,330,3
736,316,3
1456,72,4
1970,220,1
1036,395,1
726,69,2
1050,316,5
655,316,4
1254,267,2
575,220,3
1783,214,4
1877,267,5
1501,3,1
1546,369,2
975,316,1
1492,316,2
2095,220,1
2463,404,3
1608,176,4
1138,404,4
1692,198,4
1439,69,2
1642,198,2
74,3,1
2239,220,1
1499,53,1
1713,316,5
755,359,3
1577,31,5
1534,21,5
1554,267,4
86,316,1
538,319,3
1830,99,5
1526,3,1
1272,316,2
215,220,5
1119,404,4
1122,319,4
1534,294,5
2365,404,2
932,316,1
2177,198,1
715,316,1
1018,16,3
743,31,2
1927,404,4
225,256,4
1788,220,1
1807,319,5
1333,220,4
1245,220,3
564,267,3
1190,267,1
1507,220,3
1108,316,1
736,220,3
2347,395,2
1664,99,5
887,316,3
1011,357,3
1644,260,5
2371,188,5
1467,359,2
1644,31,3
1959,136,4
953,267,1
1150,188,2
537,333,5
681,404,2
2316,267,1
433,267,2
1746,204,3
1535,267,5
1502,66,2
695,136,4
2009,316,2
84,7,1
1950,204,1
1784,331,3
2238,220,3
2096,267,1
1102,331,5
1102,198,5
1495,359,2
2499,316,2
1527,346,1
1340,395,1
2417,220,3
230,136,3
1919,69,1
9,131,3
2039,395,2
715,220,1
2143,220,3
647,267,2
1561,167,5
1618,267,1
1507,384,5
1916,220,5
1785,267,1
207,115,3
2104,143,5
726,250,3
1016,267,5
214,346,2
750,220,3
1605,407,4
2019,319,3
1892,220,2
2039,267,2
1597,335,3
98,330,1
1480,331,4
1644,103,3
46,342,5
21,342,3
26,267,5
2344,220,1
2425,267,3
1101,3,1
500,220,2
550,220,4
238,316,2
1199,267,1
2317,267,1
1036,158,2
127,220,2
4,346,5
29,31,2
1213,267,3
565,316,3
2179,267,1
2081,316,3
1838,316,4
2053,331,5
1675,316,5
2200,395,3
991,267,3
637,316,1
1437,377,2
2545,3,4
2182,267,2
1523,400,4
108,331,4
2039,204,2
294,260,2
