test_cas,species,score
28,316,3
1484,278,3
576,316,2
502,316,2
1499,179,1
2355,303,1
1294,404,4
771,220,1
660,316,1
1316,260,2
1470,152,3
225,337,4
1286,3,4
2530,267,2
2206,267,5
1656,267,3
1725,87,5
1324,220,3
1473,408,1
76,316,2
820,220,4
1458,403,4
643,393,5
2199,164,2
446,90,2
66,335,2
576,204,3
1496,175,1
788,267,5
446,308,3
1903,267,1
1261,316,2
2200,197,3
736,316,3
1456,72,4
1970,220,1
1036,395,1
1050,316,5
655,316,4
575,220,3
1877,267,5
1501,3,1
1546,369,2
975,316,1
1608,176,4
1138,404,4
1439,69,2
1642,198,2
2239,220,1
1713,316,5
755,359,3
1554,267,4
538,319,3
1830,99,5
1526,3,1
215,220,5
1119,404,4
1122,319,4
2365,404,2
932,316,1
743,31,2
1927,404,4
225,256,4
1788,220,1
1807,319,5
1333,220,4
1245,220,3
1190,267,1
1507,220,3
1108,316,1
736,220,3
2347,395,2
1664,99,5
887,316,3
1011,357,3
2371,188,5
1644,31,3
1959,136,4
953,267,1
537,333,5
2316,267,1
1502,66,2
695,136,4
2009,316,2
1950,204,1
1784,331,3
2238,220,3
1102,331,5
1102,198,5
1495,359,2
2499,316,2
1527,346,1
230,136,3
715,220,1
2143,220,3
1618,267,1
1507,384,5
1916,220,5
2104,143,5
726,250,3
214,346,2
1605,407,4
2019,319,3
1892,220,2
2039,267,2
1597,335,3
98,330,1
1480,331,4
1644,103,3
46,342,5
21,342,3
2344,220,1
2425,267,3
1101,3,1
500,220,2
550,220,4
1199,267,1
2317,267,1
127,220,2
4,346,5
29,31,2
1213,267,3
565,316,3
2179,267,1
1838,316,4
2053,331,5
1675,316,5
637,316,1
1437,377,2
2182,267,2
1523,400,4
108,331,4
2039,204,2
294,260,2
81,316,3
4,87,5
148,7,1
429,331,2
1912,404,3
643,187,3
1523,405,2
519,220,3
1839,319,4
1711,342,5
1599,267,1
1851,404,3
2149,316,2
1241,316,3
1956,404,4
1499,208,1
643,220,5
1556,108,3
146,319,1
541,198,1
1960,319,1
1547,316,4
42,395,5
743,220,3
1109,246,5
639,404,3
1142,72,2
2326,330,2
103,342,5
232,316,2
1170,267,4
1591,220,3
731,267,4
1549,7,1
715,331,2
1715,13,2
215,141,5
2473,267,1
207,31,2
577,319,3
14,131,4
1141,331,2
641,220,1
1480,346,5
1912,220,3
392,330,2
1402,331,1
1534,175,3
1460,359,2
1182,319,4
1922,404,1
1675,87,2
1534,12,4
1534,187,4
2281,267,5
57,335,2
924,316,3
205,316,3
1644,80,3
1535,108,5
104,3,5
2178,197,3
440,204,2
1635,122,1
