test_cas,species,score
0,3,2.2167825286739595
0,71,2.3070684564921278
0,82,2.132025980762555
0,131,2.2365184165213954
0,167,2.2514880937015436
0,188,2.4827675893037013
0,220,2.6105291688078522
0,267,2.197953554588681
0,278,2.18479863382574
0,316,2.4667423595535363
0,319,2.3125757190062215
0,330,2.3900785758612044
0,336,2.136925416828303
0,346,2.374798123499299
0,408,2.3104333664971577
1,316,2.0225394019717964
2,260,2.11636635426182
3,235,2.870691857296211
4,0,3.5745011565018388
4,3,3.525460522350375
4,4,3.879956725355777
4,7,3.319053864870317
4,31,3.4807776703101707
4,42,3.8881761728868116
4,47,3.6817695154067533
4,50,3.7097687871522087
4,69,3.40564516810669
4,72,3.399915767590244
4,76,2.657583385064735
4,80,3.8975547979276866
4,87,3.8211508913867545
4,99,3.731867179830433
4,100,2.827945995641699
4,106,2.31895530239162
4,116,3.3951111673551426
4,123,3.343251459519533
4,131,3.258683787607802
4,136,3.9579248751902014
4,141,3.638129724936129
4,143,2.622829578890182
4,152,3.7807784560600557
4,162,3.6286638510904043
4,175,3.807924482315259
4,189,3.345457291428653
4,192,3.7807784560600557
4,198,3.563334240206402
4,204,3.448481066581139
4,214,3.1031834792624315
4,220,3.714993566414065
4,222,3.6286638510904043
4,225,3.3031806422089818
4,227,3.971497888317803
4,240,3.6651574899030974
4,244,3.5375593196749833
4,246,4.107925268065144
4,250,3.650080476829161
4,253,3.958173441248464
4,260,3.630167851036739
4,263,2.6666098414228308
4,267,3.6817695154067533
4,268,3.639503406672138
4,276,3.714993566414065
4,291,3.422257193610346
4,316,3.5330976286840707
4,317,3.3864174671758067
4,319,3.5528690589330982
4,331,3.4338649600689477
4,335,2.6666098414228308
4,336,3.765091230837745
4,341,3.883981784800085
4,342,3.9111278110552883
4,343,3.7688608228286826
4,346,4.066025505103578
4,352,3.70472115357523
4,359,3.401447907950933
4,363,3.319053864870317
4,382,3.091030922841549
4,393,3.749907279251111
4,395,3.7423524460730344
4,407,3.7786270305352847
4,415,3.5996997494587943
5,220,2.2301816759256052
5,267,2.2072300377571286
6,316,2.624359334057423
7,330,3.2716389924985285
8,31,2.694128561065564
8,72,2.7286173845438557
8,90,2.654334726793855
8,99,2.570554650003709
8,136,2.6554097562336203
8,220,2.7293247062093826
8,244,2.6851679710790695
8,267,2.7886350570724434
8,316,2.67133693465948
8,319,2.6666098414228308
8,404,2.738839402753482
9,3,2.7560459363687966
9,31,2.4761491250087655
9,44,2.535776602574413
9,72,3.0403594968963703
9,90,2.71610386176456
9,131,2.6226178998130223
9,143,2.656492604137986
9,220,2.8759404908177233
9,263,3.0320082840111584
9,267,2.8826256993730914
9,281,2.899419925461225
9,316,2.5794425746226746
9,404,2.4827675893037013
10,316,1.6678824157327978
11,220,2.4365883334056635
11,267,2.3937550819281492
12,198,2.3605310309208374
12,220,2.496564891608928
12,267,2.4556215630484983
12,404,2.3358874321520693
13,267,2.794010764812076
14,16,2.7616651289224237
14,31,2.3700608440628055
14,72,2.419694122673001
14,87,2.861385470053712
14,129,2.6178475306189175
14,131,3.122256407860461
14,136,2.6001617394082075
14,141,2.8114108051666236
14,143,2.4314662729685614
14,173,2.6335720204968043
14,179,2.6009080614248683
14,205,2.603169739300877
14,220,2.7625487572166945
14,244,3.0417980678031658
14,247,3.2507918011640022
14,267,2.976219827642918
14,268,2.9853015115371475
14,278,2.48481189048846
14,316,2.2573277021808087
14,319,2.7333122616401573
14,330,2.4520186600456966
14,331,2.6261213774693535
14,336,2.9016589290159263
14,341,2.8928981122119266
14,342,2.7586130849736494
14,346,2.7033650681482366
14,378,2.6202136110898016
14,393,2.7564707324645856
14,404,2.534031631937274
15,204,2.2870205774700265
16,220,2.6905339907599695
16,267,2.736589119155548
17,316,1.8337263680618234
18,316,1.9524448091973707
19,316,1.9761347244855414
20,267,3.1126472073902587
21,31,2.7756868787516225
21,72,2.8628448624145344
21,87,2.9016589290159263
21,99,2.8164160136313114
21,132,2.851964653976293
21,136,2.8684348780086144
21,198,2.9016589290159263
21,220,2.8639900425447933
21,244,2.8826256993730914
21,250,2.8490051343349583
21,260,2.8631167794515835
21,267,2.969846987811606
21,268,2.88767333295007
21,316,2.7779157237839063
21,319,2.873016498902889
21,329,2.783446694817146
21,331,2.8028284996704165
21,342,2.8787072908474496
21,346,3.0608970184493085
21,393,2.900535218545622
21,404,2.915849750380403
22,316,3.1494024341156646
23,220,2.8432046212799618
23,267,2.818562168850585
23,316,2.7701045422189132
23,319,2.8098061956715883
24,316,2.259037459490788
25,44,2.1969576249182934
25,220,2.3381896049007356
25,316,2.388633021491047
25,330,2.467962783850285
26,0,3.5896001916038274
26,7,3.5682937738278895
26,74,3.558684573357687
26,175,3.541147747572686
26,192,3.744281945178332
26,204,3.5541713451786388
26,220,3.412502733649592
26,245,3.4922364713430634
26,267,3.7688608228286826
26,268,3.7257415176021302
26,278,3.5556449375034718
26,316,3.8292309000911975
26,319,3.601517824835201
26,331,3.4892022236292584
26,357,3.6494872827321325
26,368,3.5330976286840707
26,395,3.9111278110552883
26,404,3.549658116999591
27,316,2.1864207520977157
28,3,3.0955245430143834
28,31,2.8007287884090006
28,32,3.0890323568531493
28,72,2.9671933712848224
28,87,2.8594144111936686
28,99,2.953800894624364
28,100,2.8732959314476725
28,131,3.0586138707235344
28,141,2.858825677538412
28,143,2.4416359669826417
28,187,2.9429957766356063
28,188,2.9097717256282944
28,214,2.774132358953737
28,215,2.755749298583459
28,220,3.120377815912272
28,267,2.8897412957845527
28,268,2.864746050845582
28,316,2.873016498902889
28,319,2.7978926849340118
28,330,2.764879637987506
28,331,3.3721595291866664
28,342,2.9990139529317466
28,346,2.9429957766356063
28,393,2.8816363872244537
29,0,2.8680356266938514
29,31,2.512645635890489
29,87,2.9651060810647536
29,198,2.539791662145692
29,220,3.198313710345287
29,267,2.8826256993730914
29,268,3.020800352339346
29,316,2.512645635890489
29,319,2.9689554146967523
29,331,3.029325491959267
29,342,2.9288049552711293
29,346,2.3285028974320814
29,407,2.9799894196338554
30,204,3.3247446568148775
30,316,3.308980105737504
31,220,3.2170229298923063
31,331,3.2467661543764286
31,404,3.1221571803122523
32,131,2.7033650681482366
32,176,1.5445136014708074
32,260,1.8924063381191722
32,331,1.701415788624214
32,335,2.272849584875771
33,95,2.4179526765773653
33,316,2.6371584415367515
33,319,2.581307286169373
33,331,2.526869436547274
34,316,2.212644850140604
35,44,2.950632882969302
35,220,2.9737937847057547
35,267,2.8189831622361643
36,316,2.362027434778671
37,316,2.2808262770926593
38,316,1.3891880477588512
39,204,2.2926132086940654
40,330,2.8639900425447933
41,204,2.1375123479371236
42,0,3.258683787607802
42,31,3.315377358803372
42,72,3.6858283446249622
42,143,3.1352116127511875
42,198,3.3721595291866664
42,220,3.4705820004649697
42,267,3.408066372245869
42,316,3.3410778306884183
42,331,3.1467235353595515
42,346,3.604020252321636
42,395,3.5731116099889366
43,220,2.16981159866309
43,267,2.16981159866309
44,316,2.1959683127696557
45,316,3.2716389924985285
45,319,2.991907052865229
46,0,3.3985497574244516
46,3,3.0146279511133858
46,16,3.0333742941769506
46,31,3.2456252221224515
46,34,3.2357321494393254
46,42,3.243744764314408
46,47,3.5785661866667247
46,72,3.1494024341156646
46,80,3.347696294983354
46,99,3.3262540381666064
46,106,2.5871679259455957
46,116,2.7442262254892436
46,131,3.0757466503160025
46,136,3.4239513481052475
46,141,3.407054651950515
46,143,3.005894805033679
46,156,3.3316798852471172
46,159,2.839792447895577
46,175,3.443673819349103
46,198,3.4185806875434013
46,203,3.241146961822801
46,214,2.942253176938739
46,215,3.244492966243325
46,220,3.3466104713179954
46,225,3.4421388069193837
46,227,3.4753628579266955
46,244,3.352277915877629
46,246,3.644351076312715
46,250,3.3135725981538586
46,260,3.3695242226815263
46,263,3.5292301143413125
46,267,3.4729340576990158
46,268,3.4768978703564146
46,278,3.263859830792202
46,279,3.206824079772192
46,291,3.3890331426030342
46,308,3.2526057628556932
46,316,3.3247446568148775
46,317,3.209927519210068
46,319,3.392041142495704
46,330,3.2716389924985285
46,331,3.3105340180360794
46,333,3.462142013481873
46,336,3.3721595291866664
46,342,3.455481244617658
46,343,3.437944418832657
46,346,3.3774722915674746
46,348,3.0071354458890585
46,358,3.9111278110552883
46,370,2.624359334057423
46,377,3.15529457745962
46,380,3.1325288206992963
46,381,2.3104333664971577
46,389,2.796216596721196
46,393,3.504792098540535
46,395,3.422257193610346
46,404,3.2801334386132344
46,408,3.2650205282035927
46,415,3.6928035203438565
47,138,3.033095083950205
47,204,3.0141709718868794
47,220,3.2357321494393254
47,235,2.9288049552711293
47,267,3.1062716981624106
47,316,2.9385947390631366
47,331,3.019053079120432
48,267,2.955896849211402
48,316,2.690068014081872
48,331,2.6595671573792607
49,31,2.3083214029933177
49,346,2.4365883334056635
50,316,2.069110697409496
51,220,2.1882819129640394
51,316,2.33388213678216
51,319,2.219413785323108
52,316,2.442666358157772
