test_cas,species,score
1,6,2
1,10,3
1,40,3
1,90,2
1,104,2
1,157,2
1,170,2
1,201,2
1,226,2
1,229,2
1,245,2
1,266,2
1,317,2
1,319,2
1,332,2
1,377,2
1,381,2
1,394,2
1,400,2
1,415,2
1,466,2
1,485,2
2,377,2
3,310,2
4,245,3
4,282,3
5,1,4
5,6,4
5,7,5
5,11,4
5,25,4
5,40,4
5,53,4
5,58,4
5,63,4
5,87,4
5,91,3
5,95,3
5,100,5
5,110,4
5,119,4
5,121,3
5,122,5
5,124,4
5,125,3
5,127,3
5,132,2
5,140,4
5,142,4
5,149,4
5,157,4
5,165,4
5,170,4
5,172,3
5,183,4
5,194,4
5,211,4
5,212,4
5,226,4
5,227,4
5,231,4
5,238,4
5,245,4
5,256,4
5,260,3
5,266,4
5,268,4
5,272,4
5,274,5
5,287,4
5,291,4
5,293,5
5,297,4
5,300,5
5,310,4
5,313,3
5,317,4
5,319,4
5,330,4
5,346,4
5,373,4
5,377,4
5,379,4
5,381,4
5,383,5
5,388,4
5,395,4
5,397,5
5,399,3
5,400,4
5,407,4
5,409,5
5,410,4
5,415,5
5,421,4
5,424,4
5,428,4
5,434,4
5,441,4
5,454,3
5,466,4
5,468,4
5,480,4
5,484,4
5,491,5
5,494,4
6,266,2
6,317,2
7,266,2
7,377,3
7,409,2
8,317,4
8,381,4
8,394,4
8,428,4
9,266,2
9,409,2
10,40,3
10,91,3
10,113,3
10,124,2
10,165,3
10,266,3
10,291,3
10,317,3
10,377,3
10,381,3
10,480,3
11,377,1
12,6,3
12,40,2
12,55,2
12,91,3
12,113,3
12,157,3
12,172,3
12,245,3
12,266,3
12,313,3
12,317,3
12,335,3
12,377,2
12,394,3
12,480,2
13,245,2
13,377,1
14,266,2
14,317,2
15,238,2
15,266,2
15,317,2
15,480,2
16,317,3
17,23,3
17,40,2
17,91,3
17,110,3
17,132,3
17,155,2
17,157,3
17,165,3
17,168,3
17,170,3
17,172,2
17,208,3
17,216,2
17,229,3
17,238,3
17,245,3
17,246,2
17,266,3
17,284,3
17,291,3
17,294,3
17,317,3
17,319,3
17,332,2
17,373,2
17,377,2
17,381,3
17,394,2
17,395,2
17,400,3
17,407,3
17,409,3
17,415,3
17,450,2
17,466,3
17,476,2
17,480,2
17,491,3
18,245,2
19,266,3
19,317,3
20,377,1
21,170,2
21,266,2
21,317,2
21,319,3
21,381,3
21,395,3
21,466,2
22,377,2
22,395,2
23,377,2
24,317,3
25,40,3
25,55,3
25,91,3
25,100,3
25,110,3
25,121,3
25,122,3
25,124,3
25,158,3
25,165,3
25,170,3
25,229,3
25,238,3
25,245,3
25,253,3
25,256,3
25,260,3
25,266,3
25,291,3
25,297,3
25,308,3
25,310,3
25,317,3
25,319,3
25,323,3
25,332,3
25,359,3
25,373,3
25,377,3
25,381,3
25,393,3
25,395,3
25,409,3
25,415,3
25,428,3
25,466,3
25,472,3
25,480,3
25,491,3
26,377,3
27,266,3
27,317,3
27,377,3
27,381,3
28,377,2
29,55,2
29,226,2
29,245,2
29,266,2
29,317,3
29,377,2
29,394,2
30,1,4
30,11,4
30,93,4
30,166,4
30,211,4
30,226,4
30,231,5
30,245,4
30,266,4
30,292,4
30,317,4
30,319,4
30,332,4
30,377,4
30,381,4
30,395,4
30,426,4
30,439,4
30,468,4
30,480,4
31,245,4
31,395,4
32,377,2
33,6,3
33,25,3
33,40,3
33,41,3
33,91,3
33,100,4
33,110,3
33,119,3
33,124,3
33,125,3
33,157,3
33,162,3
33,163,3
33,170,3
33,172,2
33,225,3
33,226,3
33,245,3
33,260,3
33,261,3
33,266,3
33,310,3
33,313,3
33,317,3
33,319,3
33,377,3
33,381,3
33,394,3
33,395,4
33,409,3
33,415,3
33,424,4
33,452,3
33,466,3
33,480,4
33,491,4
34,394,3
35,1,3
35,6,3
35,40,2
35,110,3
35,170,3
35,212,4
35,238,2
35,266,3
35,317,3
35,319,3
35,377,2
35,381,3
35,395,3
35,409,3
35,415,2
35,466,3
35,480,3
35,484,3
36,40,1
36,226,1
37,245,4
37,377,4
38,266,3
38,395,3
38,480,3
39,157,3
39,212,1
39,226,1
39,310,1
39,379,1
39,395,1
39,399,2
40,119,2
40,377,3
40,381,2
40,395,2
41,377,2
