test_cas,species,score
584,267,22.733990259194258
2436,404,28.015210231959667
118,404,19.483003780261114
295,220,23.32855213328441
2098,284,32.804041223395046
644,316,21.26964965708322
355,316,11.906924787082984
2433,404,24.215420388531687
727,342,34.09816607238489
1426,319,11.418666722882426
2154,267,18.89345260932513
2098,246,35.63095934164798
2454,220,15.571110397017668
1734,322,19.155916836757267
18,316,11.7849835927243
257,267,24.382142467390963
1146,220,16.71748369209542
1557,267,31.0933012272235
1461,267,32.695251569420215
311,330,13.436447895992083
2094,317,25.916801831264106
148,7,7.010103058487601
1307,304,27.876848609836493
400,204,17.729612226597038
1527,220,6.556515861533487
1154,316,28.505051529243804
706,316,16.15768131270705
1644,335,22.093702977198326
160,220,13.556943089889744
58,3,34.660337561583304
582,267,22.733990259194258
1831,316,14.5106685781508
440,3,11.000072744034904
2235,152,26.113512811614672
2347,267,18.91637460290785
206,404,24.669946026069482
2201,220,21.988325497493868
1997,331,9.525126606364857
2267,204,16.7585189154017
2262,267,40.52451090988937
765,319,15.608082446790082
1502,44,17.704481284361904
2079,267,7.010103058487601
2494,220,15.363449077347378
1470,56,24.730766632178426
1307,3,28.64054300860047
405,204,17.849719708417314
1997,330,9.598352756467296
576,143,18.393043125120343
1,316,12.663939294993474
746,34,24.531584403946308
1523,412,25.698973292775637
582,331,21.988325497493868
1998,220,23.51234245651863
2110,267,23.037417570150637
28,214,22.009794045677868
810,220,9.006236592284745
625,346,19.16882188647294
1386,316,20.1162716461295
1644,1,18.13030071456088
205,267,23.32855213328441
1740,142,16.7934176418051
1523,143,14.864809922980083
2094,204,30.703766728089427
1307,316,29.17097345882634
181,235,20.9080666729976
4,363,28.921666676425502
2514,330,29.587588606008037
229,316,21.37727762222957
2277,246,13.100916927857334
274,220,20.18866262399617
822,220,14.97987952738277
2148,382,24.206061835092562
1975,220,16.90220729577993
1642,335,18.281124811005036
1349,316,20.39747363050908
1361,268,12.973730962009688
1499,331,6.716972741554027
207,136,17.23887633058858
2271,275,23.716220537808425
2238,404,23.007702977388803
1484,192,29.458777017504858
1249,267,22.263836604816316
155,316,19.69548436871571
576,42,20.8223008529247
1577,244,34.09816607238489
2143,267,23.86566247436377
2569,404,24.24378084526779
207,407,23.10864796645328
470,316,21.20119698993117
2560,404,15.608082446790082
329,316,24.028115108184107
1886,319,19.088838132036933
809,316,22.587161377651782
1497,317,16.02469759397178
1717,69,12.262818240899895
2238,136,25.356498303704182
2278,220,23.91293151815899
1284,220,23.76717571804669
750,330,21.763368479129582
4,276,33.88657830015928
448,316,9.75402851351158
1534,223,21.48278747298602
154,404,25.148927971996674
2283,267,15.252188992973167
2406,220,15.645801456965309
2342,330,28.942789777309528
23,316,22.034427284294566
70,91,22.78387235800235
836,316,19.20692581109174
2496,404,23.53827381089997
1579,331,22.218217607528782
152,227,32.047026715484556
649,316,15.430135719881624
978,3,31.748584794678436
1975,333,15.91150975774646
539,16,23.57785891568525
2008,220,21.622485550071005
2238,141,23.57785891568525
128,44,25.50018668408241
1497,273,24.745663207231154
19,316,12.082044825333508
610,267,16.300868544913723
1340,267,10.721332443454935
175,316,14.222865019472282
1659,72,8.560803556848196
1460,359,17.057883052824213
406,316,13.507807951484468
58,342,34.76408800196743
2191,407,23.10864796645328
58,47,33.7577667116561
696,246,30.82911765294761
2284,267,16.00150440749121
541,330,26.333416978445804
2073,267,14.91436306821615
139,246,35.05189156064595
1692,246,24.444730255365805
2065,278,15.161831320185872
1692,217,25.068694745025663
1119,317,27.40763766060452
423,316,10.90747389091615
1496,330,17.584201297369205
1908,220,15.62684670023219
46,175,30.215791525415348
2317,342,11.031988521246607
2336,220,40.91217931441339
20,267,26.333416978445804
1920,316,20.740302435304717
724,316,26.549678163629554
1644,168,16.50058843405724
2530,220,22.733990259194258
694,220,18.352007901814062
902,316,22.034427284294566
1519,244,22.579333158628057
745,331,23.25981943300903
184,316,19.460821014337114
1554,267,27.639247367358486
1644,346,33.469963152977584
1276,267,22.49532183892102
2039,57,15.65592604898403
2517,316,18.809658272302038
63,204,15.464394066411852
499,316,18.460635212629626
2141,316,27.210926680253955
801,44,25.615709764517028
2226,267,22.075721834985377
920,330,13.323260059766763
2094,220,35.63095934164798
1455,72,23.73063781023692
2278,267,21.216193275390175
1797,204,19.888494599585165
668,198,15.608082446790082
56,316,24.011218816380488
1628,319,30.752901866494707
1523,80,20.38778734418122
1742,413,17.414588434247715
152,47,30.465098307816188
1806,316,15.608082446790082
2435,204,29.365374311101746
247,316,20.817734130300714
2216,220,32.17583830398773
1490,220,10.589797254903578
1212,316,19.613941824007753
1583,319,21.439865410204412
1534,0,26.747845483759054
1680,87,16.90220729577993
688,316,26.392692671349568
576,367,31.55718541820042
1094,291,14.487833977338367
1506,317,13.556943089889744
1484,222,26.012567822550196
1910,267,32.46364186266625
1963,340,24.531584403946308
1497,260,23.32855213328441
1644,72,22.210828518895106
2449,267,15.147187892163629
743,341,18.660216335746696
46,72,26.794311533072257
941,267,31.509916374405194
1563,267,18.123105994667338
1523,340,19.667358477907666
2272,267,26.48529152446832
891,331,22.759624906780864
1479,267,24.95376446583493
739,253,32.80124278045004
1034,331,16.30683089648151
2033,267,14.96659101931421
1042,132,22.82084440777476
2380,158,27.924117653631715
1258,220,34.87394483373749
954,316,21.238916000106396
1444,365,22.911936986102713
2445,404,11.665994673617442
1266,319,17.735437590143324
2395,267,17.713108968393154
0,167,15.534856296687643
1492,220,11.309092752638842
617,316,6.749163668350185
1044,220,19.907072140941324
1328,267,23.57785891568525
2066,200,19.800926378135618
1102,189,40.253452104724396
1134,267,26.453912172343465
1458,304,29.17097345882634
1717,267,19.175118781149887
171,316,18.539721141849036
57,341,28.015210231959667
2178,198,20.103783121291887
1507,4,29.144490355191536
1581,158,23.182704091009008
1018,220,33.88657830015928
1534,140,29.458777017504858
1558,341,13.276622617388751
2104,260,26.794311533072257
947,268,19.088838132036933
937,331,22.595022557694904
1747,267,23.215364297059093
113,220,10.16052424566571
2346,404,15.396494674564469
528,393,22.81197490177372
1641,206,17.162213405467053
566,260,20.243741175749978
1534,53,27.760525546170925
1501,220,16.561807935051135
1523,415,18.272547931222682
1502,220,23.91293151815899
1729,99,22.510318124380024
2436,267,26.824425532724465
14,346,21.20119698993117
36,316,16.92097154922204
1467,265,21.05750860955294
1473,408,14.231776862177865
1712,141,21.81452311746343
485,404,6.092192421642196
1523,195,25.50018668408241
534,316,25.463214634309995
1523,263,19.92583639438343
104,404,29.836895388408877
1468,408,14.313957597800234
1506,316,13.8241163005161
1107,176,28.701762509594367
1523,330,22.395359754592025
1626,319,18.24551707123895
446,90,19.798282486966492
1011,137,21.18817332724243
1068,93,23.282450346483714
582,316,21.48278747298602
728,319,21.31672007036579
8,404,21.646029714558416
1808,176,29.655487997855424
341,319,19.150057633030833
565,44,22.49532183892102
2391,220,25.615709764517028
1640,331,19.088838132036933
1460,72,23.282450346483714
352,316,15.608082446790082
2046,324,19.81597956261337
2059,3,25.03929212945596
1762,316,13.719395723710079
207,331,17.5461218296502
1960,267,24.556195068892247
4,336,34.514781219566586
484,188,12.558938194183932
46,260,29.554543008790944
1499,208,7.921686625963694
1224,316,17.12397942424955
847,346,27.164824893453257
1495,87,25.426960533979972
1140,69,23.22637924052429
247,158,23.709053436869194
768,220,22.847708576315867
287,31,19.509975754183884
1494,3,7.771790979356226
1480,273,27.102137026279127
1080,220,24.95376446583493
1646,291,21.010900921786696
576,159,21.867118919513707
