test_cas,species,score
1,6,1.0000529813451506
1,10,1.0035518191997495
1,40,1.0004785611262843
1,90,1.0001074120481983
1,104,1.0000276958872725
1,157,1.000046543637069
1,170,1.0000694276768718
1,201,1.000064531800633
1,226,1.0001675553127685
1,229,1.000029510225063
1,245,1.0001903995858366
1,266,1.000254706450695
1,317,1.0000584469491842
1,319,1.0000631664671524
1,332,1.0000258493553629
1,377,1.0001709742661231
1,381,1.000192587666512
1,394,1.0001021726620587
1,400,1.0000186549990426
1,415,1.0001473039932045
1,466,1.0000484211152405
1,485,1.000089600040033
2,377,1.0000086478811678
3,310,1.0000162479096564
4,245,1.0119651252017767
4,282,1.006701881324965
5,1,1.2737422056114909
5,6,1.202224386680994
5,7,2.039667079675236
5,11,1.0492347379192486
5,25,1.0394061288027983
5,40,1.1312420028251586
5,53,1.5452576092946333
5,58,1.4982356424675545
5,63,1.6479755090439197
5,87,1.1777219810664918
5,91,1.0321962218606586
5,95,1.0006156931647567
5,100,2.040820399923184
5,110,1.7180448684360647
5,119,1.26449202770024
5,121,1.0047904952125448
5,122,2.5976348291965294
5,124,1.4542949835907635
5,125,1.0019468911053384
5,127,1.0082938549836205
5,132,1.0001143123175273
5,140,1.6738605861942417
5,142,1.087254573671547
5,149,1.057330506021321
5,157,1.0505757117998942
5,165,1.8336276506809512
5,170,1.3534282930253592
5,172,1.0018456313417299
5,183,1.5467676425247912
5,194,1.2871040964383256
5,211,1.6299401225097485
5,212,1.3926741563296137
5,226,1.0398581326178595
5,227,1.0581272131022634
5,231,1.5467676425247912
5,238,1.2367166056899657
5,245,1.0820017835582698
5,256,1.0815455557068145
5,260,1.0207786952967988
5,266,1.5101826745187457
5,268,1.328437981997006
5,272,1.0846018147049843
5,274,1.9794797694606279
5,287,1.3652700298123066
5,291,1.1922447914368084
5,293,2.3263315829751785
5,297,1.4529246812751935
5,300,2.246327980877751
5,310,1.4048678197426425
5,313,1.0006541432764067
5,317,1.563978169761436
5,319,1.3023601264023499
5,330,1.6581084298896265
5,346,1.093094935969657
5,373,1.0452429272617847
5,377,1.2300343111253513
5,379,1.1615847422576502
5,381,1.2069373726924781
5,383,2.78383657955845
5,388,1.8056287255753554
5,395,1.4718838056079835
5,397,2.6740496682930073
5,399,1.0006541432764067
5,400,1.6025066579059504
5,407,1.7970414517839823
5,409,1.9887817784969735
5,410,1.587353511814242
