test_cas,species,score
1997,331,1
454,316,1
270,220,1
1654,220,1
405,319,1
755,155,1
1597,143,1
2098,60,0
2006,220,1
1257,132,0
808,316,1
2238,136,0
2098,31,0
66,16,0
28,342,0
2534,220,1
291,299,1
1147,316,1
1505,267,1
2323,267,1
2385,319,0
2106,404,1
1466,316,1
1284,267,0
2495,245,0
103,260,0
1484,72,0
1093,72,1
1632,267,1
73,7,1
527,346,1
1480,235,0
2518,267,1
1226,136,1
2466,267,1
1523,147,1
57,263,1
1502,42,1
446,220,1
207,407,1
271,103,1
1546,409,1
582,292,1
2178,267,1
576,346,0
736,220,1
772,316,1
139,47,0
1448,267,1
189,316,1
2497,267,0
599,316,1
146,141,1
1726,330,1
1138,404,0
2156,267,1
1853,31,0
1140,273,1
405,31,1
532,118,0
292,137,1
1523,366,0
1480,10,0
104,31,0
352,316,1
1605,342,0
2518,220,1
169,316,1
1959,136,0
385,319,0
1737,331,1
70,122,1
263,267,1
139,316,0
1717,143,1
1725,220,0
755,143,1
1729,82,1
696,413,0
1963,3,1
154,404,0
8,31,1
771,404,1
1212,316,1
1254,92,1
403,316,1
1635,122,1
1182,87,1
1587,3,1
1406,220,1
1715,267,1
2371,278,0
1523,206,1
211,405,0
340,267,1
1644,291,1
695,65,1
1835,316,1
1810,220,1
225,138,0
1519,99,1
1644,151,1
576,227,0
696,175,0
1960,319,1
739,317,0
1695,316,1
1535,293,0
636,316,0
576,380,1
1460,3,1
1830,141,0
2235,152,0
1348,267,0
225,330,0
755,267,1
696,143,0
1288,267,0
1484,331,1
14,267,0
418,44,1
845,44,1
1534,337,0
103,198,0
1719,392,0
241,316,1
1348,220,1
1437,317,1
1830,110,0
1172,316,1
782,278,0
1160,404,1
541,330,0
1404,267,1
1204,395,1
1484,38,0
223,31,0
1176,316,1
1093,278,1
1197,31,1
1028,176,1
376,294,0
1803,267,1
1750,214,1
1646,175,1
676,316,1
2445,316,1
1470,13,1
1853,316,0
532,333,0
1376,220,0
1546,280,1
2094,143,0
844,319,1
1715,110,1
304,331,1
622,404,1
1692,201,1
734,175,1
215,99,0
2233,319,0
1468,413,1
1628,13,0
1464,267,1
210,267,1
910,316,1
33,316,1
612,220,1
2482,404,1
104,404,0
46,343,0
1641,206,1
357,404,1
1519,267,1
1541,316,1
1361,268,1
1495,316,1
446,74,1
673,267,1
1658,187,1
2354,220,0
2089,341,0
207,331,1
2271,31,1
857,137,1
